recv_time,book_timestamp,n_bids,n_asks,mid,spread,bid_px_0,bid_vol_0,bid_px_1,bid_vol_1,bid_px_2,bid_vol_2,bid_px_3,bid_vol_3,bid_px_4,bid_vol_4,bid_px_5,bid_vol_5,bid_px_6,bid_vol_6,bid_px_7,bid_vol_7,bid_px_8,bid_vol_8,bid_px_9,bid_vol_9,ask_px_0,ask_vol_0,ask_px_1,ask_vol_1,ask_px_2,ask_vol_2,ask_px_3,ask_vol_3,ask_px_4,ask_vol_4,ask_px_5,ask_vol_5,ask_px_6,ask_vol_6,ask_px_7,ask_vol_7,ask_px_8,ask_vol_8,ask_px_9,ask_vol_9
2026-07-01T06:00:00.171676+00:00,2026-07-01T06:00:00.190981,2,3,86.9,0.2,86.8,629,86.7,500,,,,,,,,,,,,,,,,,87.0,625,87.1,200,87.2,504,,,,,,,,,,,,,,
2026-07-01T06:00:00.559701+00:00,2026-07-01T06:00:00.555393,1,3,86.9,0.2,86.8,629,,,,,,,,,,,,,,,,,,,87.0,625,87.1,200,87.2,504,,,,,,,,,,,,,,
2026-07-01T06:00:00.570037+00:00,2026-07-01T06:00:00.569808,2,3,86.9,0.2,86.8,629,86.7,500,,,,,,,,,,,,,,,,,87.0,625,87.1,200,87.2,4,,,,,,,,,,,,,,
2026-07-01T06:00:00.580382+00:00,2026-07-01T06:00:00.576224,2,3,86.9,0.2,86.8,629,86.7,500,,,,,,,,,,,,,,,,,87.0,625,87.1,200,87.2,504,,,,,,,,,,,,,,
2026-07-01T06:00:01.233872+00:00,2026-07-01T06:00:01.175778,2,3,86.9,0.2,86.8,629,86.7,500,,,,,,,,,,,,,,,,,87.0,625,87.1,200,87.2,504,,,,,,,,,,,,,,
2026-07-01T06:00:01.367729+00:00,2026-07-01T06:00:01.362905,2,2,86.9,0.2,86.8,829,86.7,500,,,,,,,,,,,,,,,,,87.0,825,87.2,504,,,,,,,,,,,,,,,,
2026-07-01T06:00:01.500653+00:00,2026-07-01T06:00:01.499850,2,2,86.9,0.2,86.8,204,86.7,500,,,,,,,,,,,,,,,,,87.0,200,87.2,504,,,,,,,,,,,,,,,,
2026-07-01T06:00:01.510896+00:00,2026-07-01T06:00:01.509064,3,3,86.95,0.1,86.9,625,86.8,204,86.7,500,,,,,,,,,,,,,,,87.0,200,87.1,625,87.2,504,,,,,,,,,,,,,,
2026-07-01T06:00:01.778477+00:00,2026-07-01T06:00:01.771627,3,3,86.95,0.1,86.9,625,86.8,204,86.7,500,,,,,,,,,,,,,,,87.0,200,87.1,625,87.2,4,,,,,,,,,,,,,,
2026-07-01T06:00:01.788979+00:00,2026-07-01T06:00:01.778972,3,3,86.95,0.1,86.9,625,86.8,204,86.7,500,,,,,,,,,,,,,,,87.0,200,87.1,625,87.2,504,,,,,,,,,,,,,,
2026-07-01T06:00:02.366822+00:00,2026-07-01T06:00:02.362440,2,3,86.95,0.1,86.9,625,86.8,204,,,,,,,,,,,,,,,,,87.0,200,87.1,625,87.2,504,,,,,,,,,,,,,,
2026-07-01T06:00:02.377164+00:00,2026-07-01T06:00:02.375598,3,3,86.95,0.1,86.9,625,86.8,204,86.7,500,,,,,,,,,,,,,,,87.0,200,87.1,625,87.2,4,,,,,,,,,,,,,,
2026-07-01T06:00:02.387490+00:00,2026-07-01T06:00:02.382073,3,3,86.95,0.1,86.9,625,86.8,204,86.7,500,,,,,,,,,,,,,,,87.0,200,87.1,625,87.2,504,,,,,,,,,,,,,,
2026-07-01T06:00:02.572214+00:00,2026-07-01T06:00:02.570124,3,2,87.0,0.2,86.9,425,86.8,4,86.7,700,,,,,,,,,,,,,,,87.1,625,87.2,504,,,,,,,,,,,,,,,,
2026-07-01T06:00:02.818361+00:00,2026-07-01T06:00:02.817748,3,2,87.0,0.2,86.9,625,86.8,4,86.7,700,,,,,,,,,,,,,,,87.1,625,87.2,504,,,,,,,,,,,,,,,,
2026-07-01T06:00:02.838898+00:00,2026-07-01T06:00:02.835571,3,2,87.0,0.2,86.9,625,86.8,3,86.7,700,,,,,,,,,,,,,,,87.1,625,87.2,504,,,,,,,,,,,,,,,,
2026-07-01T06:00:02.869741+00:00,2026-07-01T06:00:02.867420,3,2,87.0,0.2,86.9,625,86.8,2,86.7,700,,,,,,,,,,,,,,,87.1,625,87.2,504,,,,,,,,,,,,,,,,
2026-07-01T06:00:02.972284+00:00,2026-07-01T06:00:02.966836,3,2,87.0,0.2,86.9,625,86.8,2,86.7,200,,,,,,,,,,,,,,,87.1,625,87.2,504,,,,,,,,,,,,,,,,
2026-07-01T06:00:02.982554+00:00,2026-07-01T06:00:02.978719,3,2,87.0,0.2,86.9,625,86.8,2,86.7,200,,,,,,,,,,,,,,,87.1,625,87.2,4,,,,,,,,,,,,,,,,
2026-07-01T06:00:02.992886+00:00,2026-07-01T06:00:02.992624,4,2,87.0,0.2,86.9,625,86.8,2,86.7,200,86.6,500,,,,,,,,,,,,,87.1,625,87.2,4,,,,,,,,,,,,,,,,
2026-07-01T06:00:03.003227+00:00,2026-07-01T06:00:03.002921,4,2,87.0,0.2,86.9,625,86.8,2,86.7,200,86.6,500,,,,,,,,,,,,,87.1,625,87.2,504,,,,,,,,,,,,,,,,
2026-07-01T06:00:03.571241+00:00,2026-07-01T06:00:03.567985,3,2,87.0,0.2,86.9,625,86.8,2,86.7,200,,,,,,,,,,,,,,,87.1,625,87.2,504,,,,,,,,,,,,,,,,
2026-07-01T06:00:03.581480+00:00,2026-07-01T06:00:03.575330,3,2,87.0,0.2,86.9,625,86.8,2,86.7,200,,,,,,,,,,,,,,,87.1,625,87.2,4,,,,,,,,,,,,,,,,
2026-07-01T06:00:03.591762+00:00,2026-07-01T06:00:03.589044,4,2,87.0,0.2,86.9,625,86.8,2,86.7,200,86.6,500,,,,,,,,,,,,,87.1,1125,87.2,4,,,,,,,,,,,,,,,,
2026-07-01T06:00:03.786801+00:00,2026-07-01T06:00:03.779229,4,2,87.0,0.2,86.9,625,86.8,2,86.7,200,86.6,500,,,,,,,,,,,,,87.1,1125,87.2,4,,,,,,,,,,,,,,,,
2026-07-01T06:00:03.809690+00:00,2026-07-01T06:00:03.791255,4,2,87.0,0.2,86.9,425,86.8,2,86.7,200,86.6,500,,,,,,,,,,,,,87.1,1125,87.2,4,,,,,,,,,,,,,,,,
