recv_time,book_timestamp,n_bids,n_asks,mid,spread,bid_px_0,bid_vol_0,bid_px_1,bid_vol_1,bid_px_2,bid_vol_2,bid_px_3,bid_vol_3,bid_px_4,bid_vol_4,bid_px_5,bid_vol_5,bid_px_6,bid_vol_6,bid_px_7,bid_vol_7,bid_px_8,bid_vol_8,bid_px_9,bid_vol_9,ask_px_0,ask_vol_0,ask_px_1,ask_vol_1,ask_px_2,ask_vol_2,ask_px_3,ask_vol_3,ask_px_4,ask_vol_4,ask_px_5,ask_vol_5,ask_px_6,ask_vol_6,ask_px_7,ask_vol_7,ask_px_8,ask_vol_8,ask_px_9,ask_vol_9
2026-07-03T18:00:01.258630+00:00,2026-07-03T18:00:01.255961,1,0,,,109.8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:01.312376+00:00,2026-07-03T18:00:01.311920,2,0,,,110.2,150,109.8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:01.382087+00:00,2026-07-03T18:00:01.374414,2,1,110.45,0.5,110.2,150,109.8,100,,,,,,,,,,,,,,,,,110.7,150,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:02.939403+00:00,2026-07-03T18:00:02.939505,1,1,110.45,0.5,110.2,150,,,,,,,,,,,,,,,,,,,110.7,150,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:02.987100+00:00,2026-07-03T18:00:02.986763,2,1,110.55,0.3,110.4,100,110.2,150,,,,,,,,,,,,,,,,,110.7,150,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:03.066257+00:00,2026-07-03T18:00:03.065225,2,2,110.55,0.3,110.4,100,110.2,150,,,,,,,,,,,,,,,,,110.7,150,110.9,100,,,,,,,,,,,,,,,,
2026-07-03T18:00:03.273172+00:00,2026-07-03T18:00:03.272910,2,2,110.55,0.3,110.4,58,110.2,150,,,,,,,,,,,,,,,,,110.7,150,110.9,100,,,,,,,,,,,,,,,,
2026-07-03T18:00:03.357347+00:00,2026-07-03T18:00:03.357654,2,2,110.55,0.3,110.4,58,110.2,150,,,,,,,,,,,,,,,,,110.7,100,110.9,100,,,,,,,,,,,,,,,,
2026-07-03T18:00:04.428106+00:00,2026-07-03T18:00:04.414616,1,1,110.65,0.5,110.4,58,,,,,,,,,,,,,,,,,,,110.9,100,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:04.475333+00:00,2026-07-03T18:00:04.475467,2,1,110.7,0.4,110.5,150,110.4,58,,,,,,,,,,,,,,,,,110.9,100,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:04.528534+00:00,2026-07-03T18:00:04.528380,2,2,110.7,0.4,110.5,150,110.4,58,,,,,,,,,,,,,,,,,110.9,100,111.0,150,,,,,,,,,,,,,,,,
2026-07-03T18:00:04.639393+00:00,2026-07-03T18:00:04.639285,2,2,110.7,0.4,110.5,150,110.4,58,,,,,,,,,,,,,,,,,110.9,56,111.0,150,,,,,,,,,,,,,,,,
2026-07-03T18:00:05.313197+00:00,2026-07-03T18:00:05.313295,2,2,110.7,0.4,110.5,101,110.4,58,,,,,,,,,,,,,,,,,110.9,56,111.0,150,,,,,,,,,,,,,,,,
2026-07-03T18:00:05.490051+00:00,2026-07-03T18:00:05.489795,2,2,110.7,0.4,110.5,101,110.4,58,,,,,,,,,,,,,,,,,110.9,6,111.0,150,,,,,,,,,,,,,,,,
2026-07-03T18:00:05.927679+00:00,2026-07-03T18:00:05.912523,2,1,110.75,0.5,110.5,101,110.4,58,,,,,,,,,,,,,,,,,111.0,114,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:06.118797+00:00,2026-07-03T18:00:06.118309,1,1,110.75,0.5,110.5,101,,,,,,,,,,,,,,,,,,,111.0,114,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:06.171698+00:00,2026-07-03T18:00:06.171861,2,1,110.85,0.3,110.7,100,110.5,101,,,,,,,,,,,,,,,,,111.0,114,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:06.224963+00:00,2026-07-03T18:00:06.224776,2,2,110.85,0.3,110.7,100,110.5,101,,,,,,,,,,,,,,,,,111.0,114,111.2,100,,,,,,,,,,,,,,,,
2026-07-03T18:00:07.582588+00:00,2026-07-03T18:00:07.582443,1,1,110.95,0.5,110.7,100,,,,,,,,,,,,,,,,,,,111.2,100,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:07.587752+00:00,2026-07-03T18:00:07.587656,1,1,110.95,0.5,110.7,100,,,,,,,,,,,,,,,,,,,111.2,50,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:07.638293+00:00,2026-07-03T18:00:07.638038,2,1,110.95,0.5,110.7,100,110.4,150,,,,,,,,,,,,,,,,,111.2,50,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:07.690732+00:00,2026-07-03T18:00:07.690907,2,2,110.8,0.2,110.7,100,110.4,150,,,,,,,,,,,,,,,,,110.9,150,111.2,50,,,,,,,,,,,,,,,,
2026-07-03T18:00:07.973998+00:00,2026-07-03T18:00:07.962979,2,2,110.8,0.2,110.7,97,110.4,150,,,,,,,,,,,,,,,,,110.9,150,111.2,50,,,,,,,,,,,,,,,,
2026-07-03T18:00:09.132694+00:00,2026-07-03T18:00:09.132221,2,2,110.8,0.2,110.7,56,110.4,150,,,,,,,,,,,,,,,,,110.9,150,111.2,50,,,,,,,,,,,,,,,,
2026-07-03T18:00:09.276398+00:00,2026-07-03T18:00:09.276337,1,1,110.65,0.5,110.4,150,,,,,,,,,,,,,,,,,,,110.9,150,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:09.346575+00:00,2026-07-03T18:00:09.346332,2,1,110.7,0.4,110.5,100,110.4,150,,,,,,,,,,,,,,,,,110.9,150,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:09.385859+00:00,2026-07-03T18:00:09.385402,2,2,110.7,0.4,110.5,100,110.4,150,,,,,,,,,,,,,,,,,110.9,150,111.0,100,,,,,,,,,,,,,,,,
2026-07-03T18:00:09.658719+00:00,2026-07-03T18:00:09.652422,2,2,110.7,0.4,110.5,51,110.4,150,,,,,,,,,,,,,,,,,110.9,150,111.0,100,,,,,,,,,,,,,,,,
2026-07-03T18:00:09.749783+00:00,2026-07-03T18:00:09.749658,2,2,110.7,0.4,110.5,51,110.4,150,,,,,,,,,,,,,,,,,110.9,100,111.0,100,,,,,,,,,,,,,,,,
2026-07-03T18:00:10.742473+00:00,2026-07-03T18:00:10.742318,2,1,110.75,0.5,110.5,51,110.4,150,,,,,,,,,,,,,,,,,111.0,100,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:10.747606+00:00,2026-07-03T18:00:10.747485,1,1,110.75,0.5,110.5,51,,,,,,,,,,,,,,,,,,,111.0,100,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:10.808424+00:00,2026-07-03T18:00:10.808353,2,1,110.9,0.2,110.8,150,110.5,51,,,,,,,,,,,,,,,,,111.0,100,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:10.858639+00:00,2026-07-03T18:00:10.851173,2,2,110.9,0.2,110.8,150,110.5,51,,,,,,,,,,,,,,,,,111.0,100,111.3,150,,,,,,,,,,,,,,,,
2026-07-03T18:00:11.826612+00:00,2026-07-03T18:00:11.826500,2,2,110.9,0.2,110.8,150,110.5,51,,,,,,,,,,,,,,,,,111.0,50,111.3,150,,,,,,,,,,,,,,,,
2026-07-03T18:00:12.458766+00:00,2026-07-03T18:00:12.458705,1,1,111.05,0.5,110.8,150,,,,,,,,,,,,,,,,,,,111.3,150,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:12.505076+00:00,2026-07-03T18:00:12.504964,2,1,111.05,0.5,110.8,150,110.6,100,,,,,,,,,,,,,,,,,111.3,150,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:12.558632+00:00,2026-07-03T18:00:12.556813,2,2,110.95,0.3,110.8,150,110.6,100,,,,,,,,,,,,,,,,,111.1,100,111.3,150,,,,,,,,,,,,,,,,
2026-07-03T18:00:13.907070+00:00,2026-07-03T18:00:13.906983,1,1,110.85,0.5,110.6,100,,,,,,,,,,,,,,,,,,,111.1,100,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:13.933742+00:00,2026-07-03T18:00:13.933612,1,1,110.85,0.5,110.6,100,,,,,,,,,,,,,,,,,,,111.1,50,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:13.982004+00:00,2026-07-03T18:00:13.981763,2,1,110.9,0.4,110.7,150,110.6,100,,,,,,,,,,,,,,,,,111.1,50,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:14.030976+00:00,2026-07-03T18:00:14.030890,2,2,110.9,0.4,110.7,150,110.6,100,,,,,,,,,,,,,,,,,111.1,50,111.2,150,,,,,,,,,,,,,,,,
2026-07-03T18:00:15.601935+00:00,2026-07-03T18:00:15.601787,1,1,110.95,0.5,110.7,150,,,,,,,,,,,,,,,,,,,111.2,150,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:15.659060+00:00,2026-07-03T18:00:15.658850,2,1,111.0,0.4,110.8,100,110.7,150,,,,,,,,,,,,,,,,,111.2,150,,,,,,,,,,,,,,,,,,
2026-07-03T18:00:15.715565+00:00,2026-07-03T18:00:15.715433,2,2,111.0,0.4,110.8,100,110.7,150,,,,,,,,,,,,,,,,,111.2,150,111.3,100,,,,,,,,,,,,,,,,
