volume,aa,total
1,3784,57751
2,15150,183326
3,5232,47404
4,1776,20528
5,6360,91474
6,714,8952
7,1194,12378
8,759,12036
9,601,7131
10,6222,73511
11,446,5069
12,1674,15627
13,300,3835
14,445,6403
15,711,9075
16,280,3532
17,293,3777
18,337,3900
19,298,3213
20,3132,40714
21,170,2497
22,257,2804
23,236,2821
24,237,2981
25,971,17068
26,213,2245
27,187,2293
28,250,3313
29,156,1843
30,1429,20896
31,183,1620
32,179,1784
33,169,2016
34,170,1740
35,206,2217
36,159,1586
37,132,1477
38,375,3704
39,141,1284
40,396,4394
41,136,1276
42,339,3343
43,124,1377
44,119,1209
45,189,1726
46,86,1128
47,114,1115
48,140,1452
49,149,1660
50,717,13018
51,108,1111
52,89,1069
53,79,830
54,100,1038
55,105,1173
56,105,857
57,87,736
58,87,765
59,90,752
60,149,1277
61,155,1258
62,90,647
63,85,600
64,85,639
65,123,709
66,84,592
67,85,564
68,94,635
69,69,452
70,91,759
71,73,413
72,70,519
73,71,418
74,68,529
75,175,731
76,68,435
77,75,424
78,83,612
79,68,360
80,1062,8235
81,43,234
82,47,269
83,51,266
84,46,291
85,87,309
86,46,262
87,63,270
88,48,236
89,41,226
90,115,434
91,62,236
92,54,258
93,48,216
94,55,237
95,108,413
96,60,253
97,63,250
98,54,309
99,57,412
100,262,4059
101,55,125
102,56,135
103,69,159
104,56,128
105,97,230
106,51,121
107,45,140
108,60,139
109,63,155
110,106,286
111,57,136
112,57,163
113,72,158
114,56,139
115,170,378
116,59,138
117,81,194
118,73,165
119,73,166
120,366,834
121,77,164
122,98,241
123,92,200
124,59,158
125,570,1118
126,34,106
127,58,146
128,40,111
129,43,103
130,54,167
132,38,123
134,33,124
135,44,151
138,39,115
139,32,157
140,77,261
142,35,133
143,35,114
144,30,117
145,68,195
146,35,109
147,23,107
148,31,135
149,42,141
150,81,315
152,46,168
153,40,145
154,42,120
155,59,174
156,40,138
157,47,169
158,51,174
160,66,267
161,35,113
162,54,210
163,37,111
164,37,135
165,59,261
166,38,140
167,30,143
168,37,192
169,38,155
170,115,549
171,34,136
172,43,197
173,40,193
174,35,153
175,76,307
176,50,198
177,39,204
178,59,203
179,43,202
180,164,821
181,43,221
182,45,235
183,38,187
184,45,242
185,129,506
186,64,241
187,51,261
188,63,398
189,49,239
190,388,1804
191,52,265
192,111,523
193,75,358
194,89,390
195,677,2247
196,120,500
197,108,676
198,147,1016
199,137,597
200,6238,71126
300,184,184
325,102,102
345,102,102
365,106,106
390,108,108
395,121,121
405,155,155
410,143,143
415,293,293
420,489,489
424,100,100
425,891,891
495,122,122
498,107,107
500,9179,9179
