timestamp,buy_venue,sell_venue,gap,units,reducing
1786135681.3867738,OB5X_ETF,BASKET,0.7734,24,0
1786135743.2048213,BASKET,OB5X_202706_F,0.1153,43,0
1786135743.27949,FLATTEN,OB5X_202706_F,12.14,12,0
1786135743.760074,OB5X_202703_F,BASKET,0.1442,58,0
1786135751.0747716,BASKET,OB5X_202706_F,0.2737,44,0
1786135751.1321862,BASKET,OB5X_202612_F,0.2321,11,0
1786135755.3918462,OB5X_202706_F,OB5X_ETF,0.4441,40,1
1786135756.234022,OB5X_202612_F,BASKET,0.0531,49,1
1786135756.3375561,OB5X_202703_F,BASKET,0.2579,1,0
1786135757.5576863,OB5X_202612_F,BASKET,0.1523,5,0
1786135757.940887,OB5X_ETF,OB5X_202612_F,0.3117,30,1
1786135808.912704,BASKET,OB5X_202706_F,0.7262,40,0
1786135862.9214897,OB5X_202706_F,BASKET,0.0534,39,1
1786135862.9946141,OB5X_202703_F,BASKET,0.1439,1,0
1786135865.6409183,OB5X_202706_F,OB5X_ETF,0.1397,48,1
1786135868.8182812,OB5X_ETF,OB5X_202612_F,0.1392,48,1
1786135874.9279668,OB5X_202612_F,OB5X_ETF,0.0619,48,1
1786135882.6911378,BASKET,OB5X_202612_F,0.1132,55,1
1786135885.1916113,OB5X_ETF,OB5X_202706_F,0.2611,48,0
1786135885.3058984,BASKET,OB5X_202706_F,0.1482,3,0
1786135918.624757,OB5X_202612_F,BASKET,0.1761,42,1
1786135918.6787302,OB5X_202703_F,BASKET,0.2359,1,0
1786135933.20991,BASKET,OB5X_202706_F,0.2463,36,0
1786135938.0282483,BASKET,OB5X_202706_F,0.1664,1,0
1786135945.8110673,BASKET,OB5X_202612_F,0.1545,5,0
1786135949.0299535,OB5X_202612_F,BASKET,0.0103,8,1
1786135953.88675,OB5X_202706_F,BASKET,0.0921,41,1
1786135953.9457808,OB5X_202703_F,BASKET,0.1583,1,0
1786135954.42293,OB5X_202706_F,OB5X_ETF,0.0526,48,1
1786135956.6827028,BASKET,OB5X_202612_F,0.0566,50,1
