timestamp,pnl,pnl_arb,pnl_opt,pnl_hedge,delta,gamma,band_eff,u_etf,u_basket,u_f612,u_f703,u_f706,hedge_pos,fills,arbs,lots,n_quotes,quoted_vol
1786135680.531341,3750197.1550000003,0,0,0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1786135681.468226,3750197.1550000003,-12,0,0,0.0,0.0,15.0,24.0,-12.28,0.0,0.0,0.0,0,4,1,124,12,356
1786135681.97749,3750191.5549999997,-8,0,0,0.0,0.0,15.0,24.0,-12.28,0.0,0.0,0.0,0,4,1,124,12,356
1786135682.50313,3750194.055,-9,0,0,0.0,0.0,15.0,24.0,-12.29,0.0,0.0,0.0,0,4,1,124,12,356
1786135683.0642498,3750193.755,-6,10,0,12.23,0.0453,13.75,24.0,-12.27,0.0,0.0,0.0,0,5,1,139,12,346
1786135683.5766444,3750196.555,-3,10,0,12.22,0.0454,13.75,24.0,-12.27,0.0,0.0,0.0,0,5,1,139,10,266
1786135684.0770805,3750187.255,-3,10,0,12.22,0.0454,13.75,24.0,-12.26,0.0,0.0,0.0,0,5,1,139,10,266
1786135684.597218,3750187.555,-3,10,0,12.22,0.0454,13.75,24.0,-12.27,0.0,0.0,0.0,0,5,1,139,9,251
1786135685.1216815,3750186.855,7,13,0,12.23,0.0451,13.76,24.0,-12.29,0.0,0.0,0.0,0,5,1,139,9,251
1786135685.6330311,3750165.455,-3,13,0,12.23,0.0451,13.76,24.0,-12.3,0.0,0.0,0.0,0,5,1,139,10,266
1786135686.1413867,3750172.955,-3,13,0,12.23,0.0451,13.76,24.0,-12.3,0.0,0.0,0.0,0,5,1,139,12,356
1786135686.657209,3750173.855,-3,13,0,12.23,0.0451,13.76,24.0,-12.3,0.0,0.0,0.0,0,5,1,139,10,266
1786135687.174062,3750176.055,-3,16,-1,-0.27,0.0667,13.23,24.0,-12.3,0.0,0.0,0.0,-17,7,1,162,8,176
1786135687.686042,3750176.055,-2,15,0,-0.27,0.0668,13.23,24.0,-12.3,0.0,0.0,0.0,-17,7,1,162,4,87
1786135688.2028985,3750165.555,-12,30,-1,11.97,0.1118,12.26,24.0,-12.29,0.0,0.0,0.0,-17,8,1,177,5,109
1786135688.7099357,3750175.155,-17,30,-1,11.97,0.1118,12.26,24.0,-12.29,0.0,0.0,0.0,-17,8,1,177,5,109
1786135689.2254448,3750175.155,-17,30,-1,11.97,0.1118,12.26,24.0,-12.29,0.0,0.0,0.0,-17,8,1,177,8,206
1786135689.7273643,3750165.855,-22,30,-1,11.97,0.1118,12.26,24.0,-12.3,0.0,0.0,0.0,-17,8,1,177,8,206
1786135690.2572653,3750165.855,-20,29,0,11.96,0.112,12.25,24.0,-12.29,0.0,0.0,0.0,-17,8,1,177,10,261
1786135690.7617562,3750165.855,-19,28,1,11.95,0.1122,12.25,24.0,-12.28,0.0,0.0,0.0,-17,8,1,177,8,206
1786135691.2816744,3750176.0549999997,-19,28,1,11.95,0.1122,12.25,24.0,-12.27,0.0,0.0,0.0,-17,8,1,177,8,206
1786135691.7915232,3750156.555,-1,28,1,11.95,0.1122,12.25,24.0,-12.27,0.0,0.0,0.0,-17,8,1,177,8,206
1786135692.3046963,3750156.255,-10,28,1,11.95,0.1122,12.25,24.0,-12.33,0.0,0.0,0.0,-17,8,1,177,10,266
1786135692.807757,3750160.1550000003,-10,28,1,11.95,0.1122,12.25,24.0,-12.28,0.0,0.0,0.0,-17,8,1,177,9,216
1786135693.3253014,3750159.555,-11,28,1,11.95,0.1122,12.25,24.0,-12.29,0.0,0.0,0.0,-17,8,1,177,8,206
1786135693.8405988,3750159.555,-11,28,1,11.95,0.1122,12.25,24.0,-12.28,0.0,0.0,0.0,-17,8,1,177,8,206
1786135694.3577516,3750207.5549999997,-6,26,4,22.23,-0.0356,14.0,24.0,-12.26,0.0,0.0,0.0,-17,9,1,218,3,65
1786135694.8640842,3750207.5549999997,-11,26,4,22.23,-0.0356,14.0,24.0,-12.25,0.0,0.0,0.0,-17,9,1,218,3,71
1786135695.3893714,3750208.4549999996,-14,30,1,-0.77,-0.0355,14.01,24.0,-12.27,0.0,0.0,0.0,-40,10,1,241,8,205
1786135695.8972356,3750207.555,-14,30,1,-0.77,-0.0355,14.01,24.0,-12.32,0.0,0.0,0.0,-40,10,1,241,3,75
1786135696.408851,3750188.355,-9,30,1,-0.77,-0.0355,14.01,24.0,-12.28,0.0,0.0,0.0,-40,10,1,241,7,169
1786135696.9123302,3750194.8549999995,-9,30,1,-0.77,-0.0355,14.01,24.0,-12.27,0.0,0.0,0.0,-40,10,1,241,9,249
1786135697.4176917,3750207.755,-9,35,1,11.21,0.0223,14.36,24.0,-12.22,0.0,0.0,0.0,-40,11,1,257,10,293
1786135697.9283834,3750201.255,0,38,-1,11.21,0.0222,14.36,24.0,-12.27,0.0,0.0,0.0,-40,11,1,257,8,230
1786135698.4607816,3750201.255,-1,38,-1,11.21,0.0222,14.36,24.0,-12.26,0.0,0.0,0.0,-40,11,1,257,11,299
1786135698.9760365,3750188.855,-1,38,-1,11.21,0.0222,14.36,24.0,-12.28,0.0,0.0,0.0,-40,11,1,257,9,249
1786135699.5027654,3750188.855,0,35,1,11.21,0.0223,14.36,24.0,-12.27,0.0,0.0,0.0,-40,11,1,257,11,299
1786135700.021011,3750172.455,1,35,1,11.21,0.0223,14.36,24.0,-12.27,0.0,0.0,0.0,-40,11,1,257,9,249
1786135700.5212615,3750178.355,-2,40,-3,11.22,0.0222,14.36,24.0,-12.28,0.0,0.0,0.0,-40,11,1,257,8,204
1786135701.0292823,3750178.355,-27,40,-3,11.22,0.0222,14.36,24.0,-12.29,0.0,0.0,0.0,-40,11,1,257,8,204
1786135701.5334842,3750168.1550000003,-27,40,-3,11.22,0.0222,14.36,24.0,-12.29,0.0,0.0,0.0,-40,11,1,257,10,264
1786135702.0384107,3750168.1550000003,-26,38,-1,11.21,0.0222,14.36,24.0,-12.29,0.0,0.0,0.0,-40,11,1,257,9,249
1786135702.5440392,3750158.555,-28,35,1,11.21,0.0223,14.36,24.0,-12.26,0.0,0.0,0.0,-40,11,1,257,9,249
1786135703.0486746,3750159.4550000005,-28,35,1,11.21,0.0223,14.36,24.0,-12.27,0.0,0.0,0.0,-40,11,1,257,9,249
1786135703.5533476,3750159.7550000004,-28,35,1,11.21,0.0223,14.36,24.0,-12.29,0.0,0.0,0.0,-40,11,1,257,9,249
1786135704.0647566,3750159.7550000004,-23,35,1,11.21,0.0223,14.36,24.0,-12.26,0.0,0.0,0.0,-40,11,1,257,9,249
1786135704.6637137,3750150.055,-21,37,-6,-0.94,-0.1322,11.86,24.0,-12.3,0.0,0.0,0.0,-64,13,1,320,4,117
1786135705.1693063,3750150.355,-20,44,-6,-0.94,-0.1322,11.86,24.0,-12.28,0.0,0.0,0.0,-64,13,1,320,5,132
1786135705.683962,3750165.955,-20,44,-6,-0.94,-0.1322,11.86,24.0,-12.29,0.0,0.0,0.0,-64,13,1,320,5,132
1786135706.1982148,3750165.355,-21,44,-6,-0.94,-0.1322,11.86,24.0,-12.29,0.0,0.0,0.0,-64,13,1,320,5,132
1786135706.7082927,3750175.9549999996,-21,44,-6,3.06,-0.1322,11.86,24.0,-12.3,0.0,0.0,0.0,-60,14,1,324,5,132
1786135707.2223253,3750184.155,-9,37,0,3.07,-0.1325,11.86,24.0,-12.26,0.0,0.0,0.0,-60,14,1,324,5,132
1786135707.7364686,3750175.3549999995,-9,37,0,3.07,-0.1325,11.86,24.0,-12.25,0.0,0.0,0.0,-60,14,1,324,5,132
1786135708.2509158,3750175.3549999995,-9,37,0,3.07,-0.1325,11.86,24.0,-12.28,0.0,0.0,0.0,-60,14,1,324,5,132
1786135708.7628477,3750192.555,-8,31,6,3.08,-0.1328,11.85,24.0,-12.27,0.0,0.0,0.0,-60,14,1,324,5,132
1786135709.278104,3750192.255,-8,31,6,3.08,-0.1328,11.85,24.0,-12.27,0.0,0.0,0.0,-60,14,1,324,5,132
1786135709.7929685,3750176.655,-8,31,6,3.08,-0.1328,11.85,24.0,-12.27,0.0,0.0,0.0,-60,14,1,324,5,132
1786135710.306921,3750158.055,-6,31,6,3.08,-0.1328,11.85,24.0,-12.31,0.0,0.0,0.0,-60,14,1,324,5,132
1786135710.8125408,3750178.1550000003,-6,31,6,3.08,-0.1328,11.85,24.0,-12.27,0.0,0.0,0.0,-60,14,1,324,5,132
1786135711.326507,3750186.6550000003,-7,34,3,3.08,-0.1326,11.86,24.0,-12.27,0.0,0.0,0.0,-60,14,1,324,5,132
1786135711.8423238,3750186.6550000003,-8,34,3,3.08,-0.1326,11.86,24.0,-12.28,0.0,0.0,0.0,-60,14,1,324,5,132
1786135712.3578424,3750186.6550000003,-7,31,6,3.08,-0.1328,11.85,24.0,-12.26,0.0,0.0,0.0,-60,14,1,324,5,132
1786135712.8735108,3750186.6550000003,-7,31,6,3.08,-0.1328,11.85,24.0,-12.26,0.0,0.0,0.0,-60,14,1,324,5,132
1786135713.3887103,3750186.6550000003,-8,31,3,3.08,-0.1326,11.86,24.0,-12.28,0.0,0.0,0.0,-60,14,1,324,5,132
1786135713.9054794,3750186.6550000003,-14,37,0,3.07,-0.1325,11.86,24.0,-12.27,0.0,0.0,0.0,-60,14,1,324,5,132
1786135714.4167233,3750196.255,-14,37,0,3.07,-0.1325,11.86,24.0,-12.27,0.0,0.0,0.0,-60,14,1,324,5,132
1786135714.9326127,3750187.755,-14,37,0,3.07,-0.1325,11.86,24.0,-12.27,0.0,0.0,0.0,-60,14,1,324,5,132
1786135715.446134,3750204.155,-12,34,3,3.08,-0.1326,11.86,24.0,-12.26,0.0,0.0,0.0,-60,14,1,324,5,132
1786135715.9723082,3750204.155,-9,22,12,3.1,-0.1331,11.85,24.0,-12.26,0.0,0.0,0.0,-60,14,1,324,5,132
1786135716.4879818,3750195.955,-13,37,0,3.07,-0.1325,11.86,24.0,-12.29,0.0,0.0,0.0,-60,14,1,324,5,132
