captured_at,time,ticker,price,volume,buyer,seller,aggressor
2026-07-08T16:53:37.413632+00:00,02:53:27,ASML_DUAL,150.0,50,DiligentDonuts,FlawlessFlatbreads,sell
2026-07-08T16:53:37.413632+00:00,02:53:27,SAP_DUAL,66.0,1,Xuanyu Liu,HomelyHerrings,buy
2026-07-08T16:53:37.413632+00:00,02:53:27,SAP,65.9,1,Aaron Tian,Xuanyu Liu,sell
2026-07-08T16:53:37.413632+00:00,02:53:27,SAP,65.9,25,Aaron Tian,YieldingYams,sell
2026-07-08T16:53:37.413632+00:00,02:53:27,SAP_DUAL,65.7,50,InfiniteIcecreams,JazzyJellies,sell
2026-07-08T16:53:37.413632+00:00,02:53:27,AAPL,187.9,200,AverageAlmonds,WavyWalnuts,buy
2026-07-08T16:53:37.413632+00:00,02:53:27,AAPL,188.0,125,AverageAlmonds,YieldingYams,buy
2026-07-08T16:53:37.413632+00:00,02:53:27,TSLA,8.1,200,Sze-Yong Ng,YieldingYams,sell
2026-07-08T16:53:37.413632+00:00,02:53:27,TSLA,8.1,200,WavyWalnuts,YieldingYams,sell
2026-07-08T16:53:37.413632+00:00,02:53:27,TSLA,8.1,225,AverageAlmonds,YieldingYams,sell
2026-07-08T16:53:37.413632+00:00,02:53:27,SAP,65.9,200,WavyWalnuts,YieldingYams,buy
2026-07-08T16:53:37.413632+00:00,02:53:28,ASML,150.4,500,YieldingYams,AverageAlmonds,buy
2026-07-08T16:53:37.413632+00:00,02:53:28,ASML_202612_F,149.0,100,CapableCoyotes,BoundlessBisons,sell
2026-07-08T16:53:37.413632+00:00,02:53:28,ASML,150.4,20,YieldingYams,BrilliantBurritos,sell
2026-07-08T16:53:37.413632+00:00,02:53:28,OB5X_202612_120P,20.5,10,Aaron Tian,TactfulTangerines,buy
2026-07-08T16:53:37.413632+00:00,02:53:28,ASML_202703_F,150.1,100,CapableCoyotes,BoundlessBisons,sell
2026-07-08T16:53:37.413632+00:00,02:53:28,ASML_202706_F,151.2,100,CapableCoyotes,BoundlessBisons,sell
2026-07-08T16:53:37.413632+00:00,02:53:28,ASML,150.4,105,YieldingYams,AverageAlmonds,sell
2026-07-08T16:53:37.413632+00:00,02:53:28,TSLA,8.1,200,AverageAlmonds,WavyWalnuts,sell
2026-07-08T16:53:37.413632+00:00,02:53:28,AAPL,188.1,200,YieldingYams,WavyWalnuts,sell
2026-07-08T16:53:37.413632+00:00,02:53:28,OB5X_202612_100C,172.0,50,ScholarlySpearmints,VersatileVinegars,buy
2026-07-08T16:53:37.413632+00:00,02:53:28,OB5X_202612_100C,172.0,1,ScholarlySpearmints,TactfulTangerines,buy
2026-07-08T16:53:37.413632+00:00,02:53:28,ASML_202612_100P,60.2,47,GenerousGeckos,EssentialEagles,sell
2026-07-08T16:53:37.413632+00:00,02:53:28,NVDA,66.7,200,WavyWalnuts,YieldingYams,sell
2026-07-08T16:53:37.413632+00:00,02:53:28,ASML_202612_050P,24.1,10,Aaron Tian,EssentialEagles,sell
2026-07-08T16:53:37.413632+00:00,02:53:28,ASML_202612_050P,24.0,47,GenerousGeckos,EssentialEagles,sell
2026-07-08T16:53:37.413632+00:00,02:53:28,ASML_202612_F,149.5,48,AttentiveAntelopes,CapableCoyotes,buy
2026-07-08T16:53:37.413632+00:00,02:53:29,SAP,66.0,30,YieldingYams,Aaron Tian,buy
2026-07-08T16:53:37.413632+00:00,02:53:29,SAP,66.1,200,YieldingYams,WavyWalnuts,buy
2026-07-08T16:53:37.413632+00:00,02:53:29,SAP_DUAL,65.9,15,Xuanyu Liu,InfiniteIcecreams,buy
2026-07-08T16:53:37.413632+00:00,02:53:29,SAP,66.1,15,YieldingYams,Xuanyu Liu,sell
2026-07-08T16:53:37.413632+00:00,02:53:29,SAP,66.1,200,YieldingYams,WavyWalnuts,sell
2026-07-08T16:53:37.413632+00:00,02:53:29,ASML,150.4,200,WavyWalnuts,AverageAlmonds,buy
2026-07-08T16:53:37.413632+00:00,02:53:29,TSLA,8.2,200,YieldingYams,Sze-Yong Ng,buy
2026-07-08T16:53:37.413632+00:00,02:53:29,TSLA,8.2,200,YieldingYams,Shen Jiang,buy
2026-07-08T16:53:37.413632+00:00,02:53:29,TSLA,8.2,225,YieldingYams,AverageAlmonds,buy
2026-07-08T16:53:37.413632+00:00,02:53:29,ASML,150.4,20,BrilliantBurritos,AverageAlmonds,buy
2026-07-08T16:53:37.413632+00:00,02:53:29,ASML_202612_F,149.0,50,CapableCoyotes,DownrightDogfish,sell
2026-07-08T16:53:37.413632+00:00,02:53:29,ASML_202703_F,150.1,50,CapableCoyotes,DownrightDogfish,sell
2026-07-08T16:53:37.413632+00:00,02:53:29,ASML_202706_F,151.2,50,CapableCoyotes,DownrightDogfish,sell
2026-07-08T16:53:37.413632+00:00,02:53:29,ASML_DUAL,150.2,50,FlawlessFlatbreads,EarnestEspressos,buy
2026-07-08T16:53:37.413632+00:00,02:53:29,ASML,150.0,20,YieldingYams,BrilliantBurritos,sell
2026-07-08T16:53:37.413632+00:00,02:53:29,ASML_202612_100C,111.8,10,Aaron Tian,EssentialEagles,sell
2026-07-08T16:53:37.413632+00:00,02:53:29,TSLA,8.2,200,WavyWalnuts,AverageAlmonds,buy
2026-07-08T16:53:37.413632+00:00,02:53:29,AAPL,188.1,200,AverageAlmonds,WavyWalnuts,sell
2026-07-08T16:53:37.413632+00:00,02:53:29,OB5X_ETF,65.6,500,LivelyLasagnas,MarvelousMilkshakes,sell
2026-07-08T16:53:37.413632+00:00,02:53:29,OB5X_ETF,65.6,30,Aaron Tian,MarvelousMilkshakes,sell
2026-07-08T16:53:37.413632+00:00,02:53:29,OB5X_202612_100C,170.7,50,VersatileVinegars,ScholarlySpearmints,sell
2026-07-08T16:53:37.413632+00:00,02:53:29,OB5X_202612_100C,170.7,1,TactfulTangerines,ScholarlySpearmints,sell
2026-07-08T16:53:37.413632+00:00,02:53:29,ASML_DUAL,150.0,41,CostlyCorianders,DiligentDonuts,buy
2026-07-08T16:53:37.413632+00:00,02:53:30,TSLA,8.1,20,Aaron Tian,BrilliantBurritos,sell
2026-07-08T16:53:37.413632+00:00,02:53:30,ASML,150.3,200,WavyWalnuts,YieldingYams,buy
2026-07-08T16:53:37.413632+00:00,02:53:30,NVDA,66.6,200,Sze-Yong Ng,WavyWalnuts,sell
2026-07-08T16:53:37.413632+00:00,02:53:30,ASML_202612_F,148.5,100,BoundlessBisons,CapableCoyotes,sell
2026-07-08T16:53:37.413632+00:00,02:53:30,OB5X_ETF,65.4,500,MarvelousMilkshakes,NecessaryNutmegs,sell
2026-07-08T16:53:37.413632+00:00,02:53:30,ASML_202703_F,149.5,100,BoundlessBisons,CapableCoyotes,sell
2026-07-08T16:53:37.413632+00:00,02:53:30,ASML_202706_F,151.0,64,Sze-Yong Ng,CapableCoyotes,sell
2026-07-08T16:53:37.413632+00:00,02:53:30,ASML_202706_F,150.7,86,BoundlessBisons,CapableCoyotes,sell
2026-07-08T16:53:37.413632+00:00,02:53:30,SAP_DUAL,65.6,41,HomelyHerrings,GroovyGrapefruits,sell
2026-07-08T16:53:37.413632+00:00,02:53:30,NVDA,66.6,20,Aaron Tian,BrilliantBurritos,sell
2026-07-08T16:53:43.184632+00:00,02:53:31,AAPL,188.2,200,YieldingYams,WavyWalnuts,sell
2026-07-08T16:53:43.184632+00:00,02:53:31,ASML_202612_050P,24.4,10,EssentialEagles,Aaron Tian,buy
2026-07-08T16:53:43.184632+00:00,02:53:31,ASML_202612_050P,24.5,42,EssentialEagles,GenerousGeckos,buy
2026-07-08T16:53:43.184632+00:00,02:53:31,OB5X_202612_080P,7.6,10,Aaron Tian,VersatileVinegars,buy
2026-07-08T16:53:43.184632+00:00,02:53:31,OB5X_ETF,65.4,223,MarvelousMilkshakes,KindlyKales,sell
2026-07-08T16:53:43.184632+00:00,02:53:31,OB5X_202612_080P,7.6,40,ScholarlySpearmints,VersatileVinegars,buy
2026-07-08T16:53:43.184632+00:00,02:53:31,OB5X_202612_080P,7.7,1,ScholarlySpearmints,TactfulTangerines,buy
2026-07-08T16:53:43.184632+00:00,02:53:31,ASML_DUAL,150.0,47,CostlyCorianders,DiligentDonuts,buy
2026-07-08T16:53:43.184632+00:00,02:53:31,OB5X_202612_120P,19.3,43,VersatileVinegars,ScholarlySpearmints,sell
2026-07-08T16:53:43.184632+00:00,02:53:31,ASML_202612_F,148.3,50,BoundlessBisons,CapableCoyotes,buy
2026-07-08T16:53:43.184632+00:00,02:53:31,ASML_DUAL,150.0,3,Xuanyu Liu,DiligentDonuts,buy
2026-07-08T16:53:43.184632+00:00,02:53:31,ASML,150.3,3,WavyWalnuts,Xuanyu Liu,sell
2026-07-08T16:53:43.184632+00:00,02:53:31,OB5X_202612_100P,12.7,10,ScholarlySpearmints,Aaron Tian,buy
2026-07-08T16:53:43.184632+00:00,02:53:31,SAP,66.2,500,YieldingYams,AverageAlmonds,buy
2026-07-08T16:53:43.184632+00:00,02:53:31,SAP,66.2,125,YieldingYams,WavyWalnuts,buy
